repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
songquanpeng/one-api,AI engineering,AIE framework,18333,25,0.14%,94,0.51%,4138,"OpenAI 接口管理 & 分发系统，支持 Azure、Anthropic Claude、Google PaLM 2 & Gemini、智谱 ChatGLM、百度文心一言、讯飞星火认知、阿里通义千问、360 智脑以及腾讯混元，可用于二次分发管理 key，仅单可执行文件，已打包好 Docker 镜像，一键部署，开箱即用. OpenAI key management & redistribution system, using a single API for all LLMs, and features an English UI.","songquanpeng, mrhaoji, igophper",100+,2023-04-22,2024-08-06,3102
ShishirPatil/gorilla,Applications,Coding,11323,25,0.22%,48,0.42%,961,Gorilla: Training and Evaluating LLMs for Function Calls (Tool Calls),"HuanzhiMao, ShishirPatil, Fanjia-Yan",62,2023-05-19,2024-10-09,0
lllyasviel/Fooocus,Applications,Image production,40633,24,0.06%,151,0.37%,5676,Focus on prompting and generating,"lllyasviel, mashb1t, MoonRide303",58,2023-08-09,2024-08-12,178670
michaelfeil/infinity,Infrastructure,Serving,1346,23,1.71%,36,2.67%,100,"Infinity is a high-throughput, low-latency REST API for serving text-embeddings, reranking models and clip","michaelfeil, chiragjn, wirthual",20,2023-10-11,2024-10-10,0
liguodongiot/llm-action,Tutorials,,9498,23,0.24%,88,0.93%,929,本项目旨在分享大模型相关技术原理以及实战经验。,liguodongiot,1,2023-05-23,1000-01-01,0
Dao-AILab/flash-attention,Model development,Inference optimization,13708,23,0.17%,82,0.60%,1257,Fast and memory-efficient exact attention,"tridao, piercefreeman, ipiszy",86,2022-05-19,2024-09-18,472239
deepset-ai/haystack,AI engineering,AIE framework,17069,23,0.13%,83,0.49%,1866,":mag: AI orchestration framework to build customizable, production-ready LLM applications. Connect components (models, vector DBs, file converters) to pipelines or agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search or conversational agent chatbots.","ZanSara, silvanocerza, masci",100+,2019-11-14,2024-10-08,23
janhq/jan,Applications,Bots,22615,22,0.10%,110,0.49%,1304,"Jan is an open source alternative to ChatGPT that runs 100% offline on your computer. Multiple engine support (llama.cpp, TensorRT-LLM)","henryh0x1, louis-jan, urmauur",54,2023-08-17,2024-10-04,513568
arc53/DocsGPT,Applications,Info aggregation,14804,22,0.15%,57,0.39%,1540,"Chatbot for documentation, that allows you to chat with your data. Privately deployable, provides AI knowledge sharing and integrates knowledge into your AI workflow","dartpain, ManishMadan2882, siiddhantt",100+,2023-02-02,2024-10-10,89
ggerganov/whisper.cpp,Model development,Inference optimization,34933,21,0.06%,128,0.37%,3563,Port of OpenAI's Whisper model in C/C++,"ggerganov, JohannesGaessler, slaren",100+,2022-09-25,2024-10-08,76632
argilla-io/distilabel,Model development,Dataset engineering,1508,20,1.33%,44,2.92%,116,"Distilabel is a framework for synthetic data and AI feedback for engineers who need fast, reliable and scalable pipelines based on verified research papers.","gabrielmbmb, plaguss, alvarobartt",25,2023-10-16,2024-10-08,0
labring/FastGPT,AI engineering,AIE framework,17294,20,0.12%,79,0.46%,4642,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration.","c121914yu, newfish-cmyk, yangchuansheng",92,2023-02-23,2024-10-10,0
TabbyML/tabby,Applications,Coding,21425,20,0.09%,92,0.43%,964,Self-hosted AI coding assistant,"wsxiaoys, icycodes, liangfung",97,2023-03-16,2024-10-10,4814
princeton-nlp/SWE-agent,Applications,Coding,13442,20,0.15%,49,0.36%,1346,"[NeurIPS 2024] SWE-agent takes a GitHub issue and tries to automatically fix it, using GPT-4, or your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges.","klieret, ofirpress, talorabr",57,2024-04-02,2024-10-09,0
karpathy/nanoGPT,Model repo,,36628,20,0.05%,122,0.33%,5773,"The simplest, fastest repository for training/finetuning medium-sized GPTs.","karpathy, apivovarov, danielgross",35,2022-12-28,2024-06-03,0
OpenLLMAI/OpenRLHF,Model development,Modeling & training,2191,19,0.87%,81,3.70%,217,"An Easy-to-use, Scalable and High-performance RLHF Framework (70B+ PPO Full Tuning & Iterative DPO & LoRA & Mixtral)","hijkzzz, openllmai0, xiaoxigua999",38,2023-07-30,2024-10-08,0
jeinlee1991/chinese-llm-benchmark,AI engineering,Evals,2541,19,0.75%,59,2.32%,122,中文大模型能力评测榜单：目前已囊括115个大模型，覆盖chatgpt、gpt4o、百度文心一言、阿里通义千问、讯飞星火、商汤senseChat、minimax等商用模型， 以及百川、qwen2、glm4、yi、书生internLM2、llama3等开源大模型，多维度能力评测。不仅提供能力评分排行榜，也提供所有模型的原始输出结果！,jeinlee1991,1,2023-06-04,1000-01-01,0
weaviate/weaviate,Infrastructure,VectorDB,11077,19,0.17%,73,0.66%,769,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.","etiennedi, antas-marcin, dirkkul",100+,2016-03-30,2024-10-10,179592
upscayl/upscayl,Applications,Image production,30383,19,0.06%,147,0.48%,1386,"🆙 Upscayl - #1 Free and Open Source AI Image Upscaler for Linux, MacOS and Windows.","NayamAmarshe, aaronliu0130, TGS963",26,2022-07-30,2024-10-04,5572250
lllyasviel/ControlNet,Model repo,,30014,19,0.06%,76,0.25%,2705,Let us control diffusion models!,"lllyasviel, eltociear, sethupavan12",6,2023-02-01,2023-04-08,0
chatchat-space/Langchain-Chatchat,AI engineering,AIE framework,31525,19,0.06%,77,0.24%,5493,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ","imClumsyPanda, liunux4odoo, glide-the",100+,2023-03-31,2024-10-08,0
Stability-AI/stablediffusion,Model repo,,38727,19,0.05%,78,0.20%,4998,High-Resolution Image Synthesis with Latent Diffusion Models,"rromb, hardmaru, apolinario",17,2022-11-23,2023-03-24,0
xtekky/gpt4free,AI engineering,AI interface,60281,19,0.03%,89,0.15%,13243,The official gpt4free repository | various collection of powerful language models,"xtekky, hlohaus, kqlio67",100+,2023-03-29,2024-10-03,136
lencx/ChatGPT,Applications,Bots,52549,19,0.04%,73,0.14%,5908,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)","lencx, yixinBC, tk103331",29,2022-12-07,2024-08-29,4122234
joaomdmoura/crewAI,AI engineering,Agent,19882,18,0.09%,166,0.83%,2753,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.","joaomdmoura, bhancockio, lorenzejay",100+,2023-10-27,2024-10-10,0
Mozilla-Ocho/llamafile,Model development,Inference optimization,19577,18,0.09%,124,0.63%,987,Distribute and run LLMs with a single file.,"jart, stlhood, ahgamut",45,2023-09-10,2024-09-30,7643
netease-youdao/QAnything,AI engineering,AIE framework,11597,18,0.16%,64,0.55%,1119,Question and Answer based on Anything.,"xixihahaliu, successren, vsou",17,2024-01-03,2024-09-27,0
QwenLM/Qwen,Model repo,,13655,18,0.13%,68,0.50%,1108,The official repo of Qwen (通义千问) chat & pretrained large language model proposed by Alibaba Cloud.,"JustinLin610, yangapku, JianxinMa",31,2023-08-03,2024-06-20,0
ray-project/ray,Model development,Modeling & training,33366,18,0.05%,77,0.23%,5650,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,"ericl, sven1977, robertnishihara",100+,2016-10-25,2024-10-10,135
KillianLucas/open-interpreter,Applications,Workflow automation,52546,18,0.03%,96,0.18%,4636,A natural language interface for computers,"KillianLucas, Notnaton, MikeBirdTech",100+,2023-07-14,2024-09-26,41
stas00/ml-engineering,Tutorials,,11350,17,0.15%,255,2.25%,685,Machine Learning Engineering Open Book,"stas00, Quentin-Anthony, pitmonticone",27,2020-09-02,2024-10-01,0
outlines-dev/outlines,AI engineering,Prompt engineering,8525,17,0.20%,114,1.34%,431,Structured Text Generation,"rlouf, lapp0, brandonwillard",100+,2023-03-17,2024-10-07,0
ml-explore/mlx,Model development,Modeling & training,16694,17,0.10%,75,0.45%,957,MLX: An array framework for Apple silicon,"awni, angeloskath, jagrit06",100+,2023-11-28,2024-10-09,0
haotian-liu/LLaVA,Model repo,Multimodal,19671,17,0.09%,83,0.42%,2164,[NeurIPS'23 Oral] Visual Instruction Tuning (LLaVA) built towards GPT-4V level capabilities and beyond.,"haotian-liu, ChunyuanLI, mattmazzola",48,2023-04-17,2023-11-27,0
facebookresearch/faiss,Infrastructure,VectorDB,30843,17,0.06%,86,0.28%,3595,A library for efficient similarity search and clustering of dense vectors.,"mdouze, beauby, r-barnes",100+,2017-02-07,1000-01-01,0
tinygrad/tinygrad,Model development,Modeling & training,26480,17,0.06%,68,0.26%,2918,You like pytorch? You like micrograd? You love tinygrad! ❤️ ,"geohot, chenyuxyz, Qazalin",100+,2020-10-18,2024-10-10,0
stanfordnlp/dspy,AI engineering,Prompt engineering,17629,16,0.09%,161,0.91%,1342,DSPy: The framework for programming—not prompting—foundation models,"okhat, arnavsinghvi11, krypticmouse",100+,2023-01-09,2024-10-10,0
Bin-Huang/chatbox,Applications,Bots,21161,16,0.08%,97,0.46%,2134,"User-friendly Desktop Client App for AI Models/LLMs (GPT, Claude, Gemini, Ollama...)","Bin-Huang, hiNISAL, joegoldin",29,2023-03-06,2024-09-02,452119
milvus-io/milvus,Infrastructure,VectorDB,29840,16,0.05%,99,0.33%,2863,"A cloud-native vector database, storage for next generation AI applications","congqixia, JinHai-CN, bigsheeper",100+,2019-09-16,2024-10-10,168707
tensorflow/tensorflow,Model development,Modeling & training,185901,16,0.01%,86,0.05%,74244,An Open Source Machine Learning Framework for Everyone,"ezhulenev, mihaimaruseac, yongtang",100+,2015-11-07,2024-10-10,0
dair-ai/Prompt-Engineering-Guide,Tutorials,Prompt engineering,49231,15,0.03%,669,1.36%,4779,"🐙 Guides, papers, lecture, notebooks and resources for prompt engineering","omarsar, behrends, ThunderCatXp",100+,2022-12-16,2024-06-22,0
xenova/transformers.js,AI engineering,AIE framework,11248,15,0.13%,102,0.91%,700,"State-of-the-art Machine Learning for the web. Run 🤗 Transformers directly in your browser, with no need for a server!","xenova, chelouche9, DavidGOrtega",30,2023-02-13,2024-10-10,0
openai/tiktoken,Model development,Dataset engineering,12065,15,0.12%,89,0.74%,820,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,"hauntsaninja, l0rinc, alvarobartt",15,2022-12-01,2024-10-03,0
CompVis/latent-diffusion,Model repo,,11644,15,0.13%,54,0.46%,1517,High-Resolution Image Synthesis with Latent Diffusion Models,"rromb, crowsonkb, AK391",4,2021-12-20,2022-07-26,0
qdrant/qdrant,Infrastructure,VectorDB,20094,15,0.07%,78,0.39%,1361,"Qdrant - High-performance, massive-scale Vector Database for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/","generall, agourlay, timvisee",100+,2020-05-30,2024-10-10,16970
huggingface/diffusers,Model development,Modeling & training,25479,15,0.06%,83,0.33%,5276,🤗 Diffusers: State-of-the-art diffusion models for image and audio generation in PyTorch and FLAX.,"patrickvonplaten, sayakpaul, patil-suraj",100+,2022-05-30,2024-10-10,0
geekan/MetaGPT,AI engineering,Agent,44152,15,0.03%,131,0.30%,5251,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming","geekan, better629, garylin2099",99,2023-06-30,2024-09-29,583
suno-ai/bark,Model repo,Multimodal,35634,15,0.04%,105,0.29%,4191,🔊 Text-Prompted Generative Audio Model,"gkucsko, kmfreyberg, mcamac",16,2023-04-07,2023-05-01,0
facebookresearch/llama,Model repo,,55938,15,0.03%,116,0.21%,9518,Inference code for Llama models,"jspisak, ruanslv, sekyondaMeta",48,2023-02-14,2024-07-23,0
pathwaycom/llm-app,AI engineering,AIE framework,4276,14,0.33%,82,1.92%,219,"Dynamic RAG for enterprise. Ready to run with Docker,⚡in sync with Sharepoint, Google Drive, S3, Kafka, PostgreSQL, real-time data APIs, and more.","berkecanrizai, pw-ppodhajski, szymondudycz",21,2023-07-19,2024-09-17,12
state-spaces/mamba,Model repo,,12804,14,0.11%,83,0.65%,1082,Mamba SSM architecture,"tridao, albertfgu, epicfilemcnulty",27,2023-12-01,2024-10-07,4470
NVIDIA/Megatron-LM,Model repo,,10222,14,0.14%,54,0.53%,2296,Ongoing research training transformer models at scale,"jaredcasper, lmcafee-nvidia, ko3n1g",100+,2019-03-21,2024-10-10,0
datawhalechina/prompt-engineering-for-developers,Tutorials,,11606,14,0.12%,61,0.53%,1452,面向开发者的 LLM 入门教程，吴恩达大模型系列课程中文版,"logan-zou, Beyondzjl, xuhu0115",33,2023-04-28,2024-09-15,4491
mlfoundations/open_clip,Model repo,,9974,14,0.14%,49,0.49%,961,An open source implementation of CLIP.,"rwightman, rom1504, gabrielilharco",50,2021-07-28,2024-07-04,327134
embedchain/embedchain,AI engineering,AIE framework,22229,14,0.06%,90,0.40%,2043,The Memory layer for your AI apps,"taranjeet, deshraj, Dev-Khant",100+,2023-06-20,2024-10-09,0
mem0ai/mem0,AI engineering,Agent,22229,14,0.06%,90,0.40%,2043,The Memory layer for your AI apps,"taranjeet, deshraj, Dev-Khant",100+,2023-06-20,2024-10-09,0
eosphoros-ai/DB-GPT,Applications,Coding,13449,14,0.10%,51,0.38%,1785,AI Native Data App Development framework with AWEL(Agentic Workflow Expression Language) and Agents,"Aries-ckt, csunny, yhjun1026",100+,2023-04-13,2024-10-08,0
hpcaitech/Open-Sora,Model repo,Multimodal,21826,14,0.06%,65,0.30%,2118,Open-Sora: Democratizing Efficient Video Production for All,"zhengzangw, Shen-Chenhui, FrankLeeeee",49,2024-02-20,2024-07-12,0
PlexPt/awesome-chatgpt-prompts-zh,Lists,Prompt engineering,52392,14,0.03%,61,0.12%,13525,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,"PlexPt, ImgBotApp, PeterDaveHello",24,2022-12-12,2024-07-01,0
Lightning-AI/litgpt,Model development,Modeling & training,10317,13,0.13%,132,1.28%,1021,"20+ high-performance LLMs with recipes to pretrain, finetune and deploy at scale.","carmocca, rasbt, awaelchli",84,2023-05-04,2024-10-10,0
